term_id,term_str,n,num,pos_max,stop,p_stem
601,403,3,1,CD,0,403
602,404,1,1,CD,0,404
603,4040,2,1,CD,0,4040
604,405,1,1,CD,0,405
605,406,1,1,CD,0,406
606,407,1,1,CD,0,407
607,408,1,1,CD,0,408
608,409,1,1,CD,0,409
609,40glock,1,1,JJ,0,40glock
610,40s,6,1,CD,0,40
611,40water,1,1,JJ,0,40water
612,41,4,1,CD,0,41
613,410,4,1,CD,0,410
614,411,3,1,CD,0,411
615,412,4,1,CD,0,412
616,413,3,1,CD,0,413
617,414,2,1,CD,0,414
618,415,1,1,CD,0,415
619,416,2,1,CD,0,416
620,417,1,1,CD,0,417
621,418,1,1,CD,0,418
622,419,1,1,CD,0,419
623,41e,1,1,NN,0,41e
624,42,11,1,CD,0,42
625,420,1,1,CD,0,420
626,421,1,1,CD,0,421
627,422,1,1,CD,0,422
628,423,1,1,CD,0,423
629,424,1,1,CD,0,424
630,425,1,1,CD,0,425
631,426,1,1,CD,0,426
632,427,1,1,CD,0,427
633,428,1,1,CD,0,428
634,429,1,1,CD,0,429
635,42nd,2,1,CD,0,42nd
636,43,3,1,CD,0,43
637,430,3,1,CD,0,430
638,431,2,1,CD,0,431
639,432,1,1,CD,0,432
640,433,1,1,CD,0,433
641,434,1,1,CD,0,434
642,435,1,1,CD,0,435
643,436,1,1,CD,0,436
644,437,1,1,CD,0,437
645,438,1,1,CD,0,438
646,439,1,1,CD,0,439
647,44,32,1,CD,0,44
648,440,1,1,CD,0,440
649,441,1,1,CD,0,441
650,442,1,1,CD,0,442
651,443,1,1,CD,0,443
652,444,1,1,CD,0,444
653,444222,2,1,CD,0,444222
654,445,1,1,CD,0,445
655,446,1,1,CD,0,446
656,447,1,1,CD,0,447
657,448,1,1,CD,0,448
658,449,1,1,CD,0,449
659,44s,1,1,CD,0,44
660,45,15,1,CD,0,45
661,450,1,1,CD,0,450
662,451,1,1,CD,0,451
663,452,1,1,CD,0,452
664,453,1,1,CD,0,453
665,454,1,1,CD,0,454
666,455,1,1,CD,0,455
667,456,1,1,CD,0,456
668,457,2,1,CD,0,457
669,458,2,1,CD,0,458
670,459,1,1,CD,0,459
671,45s,1,1,CD,0,45
672,46,2,1,CD,0,46
673,460,1,1,CD,0,460
674,461,2,1,CD,0,461
675,462,1,1,CD,0,462
676,463,1,1,CD,0,463
677,464,1,1,CD,0,464
678,465,1,1,CD,0,465
679,466,1,1,CD,0,466
680,467,3,1,CD,0,467
681,468,1,1,CD,0,468
682,469,1,1,CD,0,469
683,47,6,1,CD,0,47
684,470,1,1,CD,0,470
685,471,1,1,CD,0,471
686,472,2,1,CD,0,472
687,473,1,1,CD,0,473
688,474,1,1,CD,0,474
689,475,1,1,CD,0,475
690,476,1,1,CD,0,476
691,477,1,1,CD,0,477
692,478,1,1,CD,0,478
693,479,1,1,CD,0,479
694,47th,1,1,CD,0,47th
695,48,5,1,CD,0,48
696,480,1,1,CD,0,480
697,481,2,1,CD,0,481
698,482,1,1,CD,0,482
699,483,1,1,CD,0,483
700,484,1,1,CD,0,484
701,485,1,1,CD,0,485
702,486,2,1,CD,0,486
703,487,2,1,CD,0,487
704,488,5,1,CD,0,488
705,489,1,1,CD,0,489
706,4894608,1,1,JJ,0,4894608
707,49,2,1,CD,0,49
708,490,3,1,CD,0,490
709,491,2,1,CD,0,491
710,492,2,1,CD,0,492
711,493,1,1,CD,0,493
712,494,1,1,CD,0,494
713,495,3,1,CD,0,495
714,496,1,1,CD,0,496
715,497,1,1,CD,0,497
716,498,1,1,CD,0,498
717,499,1,1,CD,0,499
718,4am,3,1,CD,0,4am
719,4barrel,1,1,JJ,0,4barrel
720,4ever,6,1,JJ,0,4ever
721,4flex,1,1,CD,0,4flex
722,4freedom,1,1,CD,0,4freedom
723,4hunnid,2,1,NN,0,4hunnid
724,4k,1,1,CD,0,4k
725,4l,1,1,CD,0,4l
726,4milli,1,1,CD,0,4milli
727,4o,1,1,NN,0,4o
728,4s,1,1,CD,0,4s
729,4tay,1,1,NN,0,4tay
730,4th,15,1,CD,0,4th
731,4u,1,1,CD,0,4u
732,4x,15,1,NN,0,4x
733,4x4,1,1,CD,0,4x4
734,5,130,1,CD,0,5
735,50,79,1,CD,0,50
736,500,11,1,CD,0,500
737,5000,2,1,CD,0,5000
738,50000,3,1,NN,0,50000
739,5001,1,1,CD,0,5001
740,500sl,1,1,CD,0,500sl
741,501,1,1,CD,0,501
742,502,1,1,CD,0,502
743,503,1,1,CD,0,503
744,504,1,1,CD,0,504
745,505,3,1,CD,0,505
746,5050,6,1,CD,0,5050
747,506,1,1,CD,0,506
748,507,1,1,CD,0,507
749,508,1,1,CD,0,508
750,509,1,1,CD,0,509
751,50k,3,1,CD,0,50k
752,50landing,4,1,VBG,0,50land
753,50pack,1,1,JJ,0,50pack
754,50s,5,1,CD,0,50
755,50th,1,1,NNP,0,50th
756,51,1,1,CD,0,51
757,510,3,1,CD,0,510
758,511,4,1,CD,0,511
759,512,3,1,CD,0,512
760,513,1,1,CD,0,513
761,514,2,1,CD,0,514
762,515,3,1,CD,0,515
763,516,1,1,CD,0,516
764,517,1,1,CD,0,517
765,518,1,1,CD,0,518
766,519,1,1,CD,0,519
767,52,6,1,CD,0,52
768,520,1,1,CD,0,520
769,521,1,1,CD,0,521
770,522,1,1,CD,0,522
771,523,1,1,CD,0,523
772,524,1,1,CD,0,524
773,525,1,1,CD,0,525
774,526,1,1,CD,0,526
775,527,1,1,CD,0,527
776,528,1,1,CD,0,528
777,529,1,1,CD,0,529
778,53,3,1,CD,0,53
779,530,3,1,CD,0,530
780,5309,3,1,NN,0,5309
781,531,1,1,CD,0,531
782,532,1,1,CD,0,532
783,533,1,1,CD,0,533
784,534,1,1,CD,0,534
785,535,1,1,CD,0,535
786,536,1,1,CD,0,536
787,537,1,1,CD,0,537
788,538,1,1,CD,0,538
789,539,1,1,CD,0,539
790,54,4,1,CD,0,54
791,540,1,1,CD,0,540
792,541,1,1,CD,0,541
793,5411s,1,1,JJ,0,5411
794,542,1,1,CD,0,542
795,543,1,1,CD,0,543
796,544,1,1,CD,0,544
797,545,1,1,CD,0,545
798,546,1,1,CD,0,546
799,547,1,1,CD,0,547
800,548,1,1,CD,0,548
801,549,1,1,CD,0,549
802,54th,1,1,CD,0,54th
803,55,37,1,CD,0,55
804,550,2,1,CD,0,550
805,551,1,1,CD,0,551
806,552,1,1,CD,0,552
807,553,1,1,CD,0,553
808,554,1,1,CD,0,554
